	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU101	189	330	305	190	181	214	249	101	81	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	28	0	0
OTU1218	0	0	0	48	19	0	19	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU133	11453	13984	11790	13395	11153	13895	11559	3940	4187	9767	34	4	1	164	59	65	379	2	2	0	131	153	87	46	2399	3772	396	1	0	76	1	68	161	0	0	13	130	453	0	332	531	104	383	1741
OTU1379	0	0	0	0	0	0	21	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1389	0	65	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU308	2131	1531	1924	2127	1860	2327	2102	678	632	2025	130	3	3	124	1	0	0	0	0	0	0	1	0	158	304	0	275	0	0	11	1	0	0	0	0	0	0	130	0	0	0	0	1	165
OTU379	103	0	0	0	0	5	0	17	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU429	10	0	0	126	104	0	12	17	0	66	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	376	0	137	158	656	245	369	81	143	397	0	0	0	0	0	0	0	3	0	1	1	0	0	78	0	0	174	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU460	19	0	0	67	39	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU485	1	0	0	3	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU498	8	0	0	0	2	6	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU501	11	0	0	0	60	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU507	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU527	9	0	0	0	0	6	12	1	38	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7	749	0	253	127	602	995	535	192	188	896	0	0	0	0	0	0	44	4	0	0	0	0	0	0	283	0	124	0	0	4	0	0	0	0	0	0	0	0	0	261	0	0	134	284
OTU84	303	413	347	116	691	592	528	71	108	217	0	0	0	0	17	32	55	0	0	101	0	160	73	166	247	148	44	0	0	3	81	0	5	20	54	6	0	0	0	110	149	22	109	0
OTU144	825	27	85	302	1	15	0	2	0	120	1104	540	389	1	2	2	78	7979	750	4747	6036	99	0	1	1	15270	130	501	834	1808	0	1	246	967	113	757	272	8017	331	0	857	0	2	275
OTU18	197	628	1466	261	162	108	29	23	49	440	716	767	2423	1924	194	343	3562	7974	2894	1638	687	1658	7582	874	3302	7315	768	751	2197	390	5756	2441	7862	19706	10916	4014	1178	22177	5543	528	574	1872	2628	658
OTU362	378	1901	1629	1910	860	692	641	199	355	756	0	0	3	1	0	0	279	303	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	71
OTU679	0	0	25	9298	5	0	16	1	0	0	0	0	6	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3	0	0	198	0	128	0	0	0
