	CHF0M0R1	CHF4M1R1	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF1M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M1R1	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M1R1	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF6M6R1	CHF6M6R2	CHF6M6R3
OTU367	66	56	28	0	0	182	63	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU398	0	0	1	0	0	39	48	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU419	461	0	0	1	1	0	185	146	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	75	0	0	0	22	0	0
OTU427	808	64	1132	97	697	792	1119	1248	0	0	0	5	0	0	0	0	0	0	282	441	0	0	0	0	0	0	0	0	0	0	0	0	0	187	220
OTU457	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU474	35	21	12	0	11	34	40	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU475	5324	5061	2635	1	3237	9241	8323	9659	0	2	0	4	11	0	3	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
OTU687	1	54	1	0	0	60	17	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU832	225	319	143	0	142	404	507	111	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU838	72	1	182	0	181	253	292	1357	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU970	152	44	0	0	114	57	122	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU991	396	144	264	0	113	467	261	108	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1538	0	0	0	0	0	0	65	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU395	0	0	0	0	0	73	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU803	298	144	0	0	47	36	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU996	811	0	46	1	10	737	291	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU767	104	0	0	0	0	0	96	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU137	717	318	1869	0	1524	2069	2067	1398	1	0	0	415	3	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	201	72	0	2	1	0
OTU322	139	3	0	0	0	4	129	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU337	55	12	130	0	5	22	96	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU423	0	0	0	0	0	67	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU434	87	42	144	0	53	173	48	233	130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
